Red,Green,Blue
0.345,0.390,0.265
0.344,0.396,0.260
0.357,0.405,0.238
0.363,0.416,0.221
0.357,0.429,0.214
0.358,0.431,0.211
0.359,0.427,0.214
0.354,0.437,0.208
0.348,0.438,0.213
0.349,0.446,0.205
0.346,0.449,0.205
0.342,0.447,0.211
0.349,0.446,0.205
0.342,0.436,0.222
0.345,0.396,0.259
0.346,0.392,0.263
0.347,0.390,0.263
0.347,0.389,0.264
0.347,0.389,0.263
0.347,0.392,0.261
0.345,0.395,0.260
0.344,0.399,0.257
0.355,0.418,0.227
0.359,0.427,0.214
0.359,0.427,0.214
0.359,0.427,0.214
0.362,0.422,0.216
0.362,0.414,0.224
0.345,0.397,0.257
0.336,0.387,0.276
0.362,0.409,0.228
0.362,0.422,0.216
0.360,0.430,0.211
0.360,0.430,0.211
0.360,0.430,0.211
0.357,0.426,0.217
0.362,0.422,0.216
0.360,0.421,0.219
0.329,0.359,0.312
0.328,0.361,0.311
0.316,0.348,0.336
0.348,0.409,0.242
0.360,0.421,0.219
0.362,0.422,0.216
0.362,0.422,0.216
0.342,0.390,0.267
0.330,0.373,0.297
0.348,0.409,0.242
0.360,0.421,0.219
0.356,0.424,0.220
0.356,0.424,0.220
0.360,0.421,0.219
0.351,0.389,0.260
0.352,0.397,0.251
0.359,0.419,0.222
0.348,0.420,0.232
0.358,0.417,0.225
0.358,0.415,0.228
0.335,0.420,0.245
0.358,0.425,0.217
0.359,0.427,0.214
0.359,0.427,0.214
0.351,0.396,0.253
0.309,0.343,0.347
0.347,0.415,0.237
0.348,0.435,0.217
0.351,0.429,0.221
0.348,0.435,0.217
0.332,0.417,0.251
0.345,0.393,0.262
0.347,0.393,0.261
0.346,0.394,0.260
0.338,0.408,0.254
0.360,0.430,0.211
0.350,0.430,0.220
0.344,0.433,0.222
0.347,0.432,0.221
0.355,0.430,0.215
0.333,0.416,0.251
0.315,0.339,0.346
0.313,0.340,0.347
0.313,0.361,0.326
0.335,0.400,0.265
0.363,0.416,0.221
0.364,0.411,0.224
0.358,0.406,0.236
0.339,0.403,0.259
0.318,0.371,0.311
0.314,0.341,0.345
0.312,0.342,0.346
0.323,0.373,0.303
0.357,0.420,0.223
0.361,0.417,0.222
0.359,0.410,0.231
0.345,0.395,0.260
0.346,0.394,0.260
0.347,0.393,0.260
0.347,0.395,0.258
0.347,0.395,0.258
0.335,0.415,0.250
0.319,0.358,0.323
0.313,0.340,0.347
0.311,0.336,0.353
0.333,0.368,0.298
0.348,0.386,0.266
0.348,0.386,0.266
0.350,0.386,0.264
0.350,0.386,0.264
0.346,0.387,0.267
0.349,0.385,0.266
0.349,0.384,0.267
0.350,0.384,0.266
0.353,0.384,0.263
0.353,0.385,0.262
0.355,0.383,0.262
0.356,0.384,0.261
0.356,0.382,0.261
0.356,0.382,0.262
0.353,0.383,0.264
0.353,0.382,0.265
0.351,0.382,0.267
0.339,0.371,0.289
0.337,0.364,0.299
0.335,0.363,0.302
0.335,0.364,0.301
0.348,0.385,0.267
0.348,0.384,0.268
0.349,0.383,0.268
0.347,0.384,0.268
0.347,0.384,0.268
0.347,0.384,0.268
0.347,0.386,0.267
0.349,0.386,0.266
0.350,0.385,0.265
0.349,0.388,0.263
0.349,0.386,0.265
0.333,0.368,0.298
0.334,0.370,0.295
0.334,0.370,0.297
0.336,0.372,0.293
0.344,0.385,0.271
0.346,0.386,0.268
0.341,0.383,0.275
0.340,0.379,0.281
0.335,0.374,0.291
0.379,0.379,0.241
0.379,0.375,0.246
0.378,0.382,0.241
0.376,0.380,0.244
0.383,0.379,0.238
0.385,0.377,0.239
0.382,0.374,0.244
0.379,0.379,0.241
0.381,0.377,0.243
0.383,0.379,0.239
0.387,0.383,0.229
0.386,0.383,0.231
0.382,0.386,0.232
0.391,0.380,0.229
0.385,0.382,0.233
0.392,0.384,0.224
0.392,0.385,0.223
0.393,0.378,0.230
0.383,0.377,0.240
0.380,0.377,0.243
0.375,0.379,0.246
0.372,0.385,0.243
0.370,0.382,0.248
0.372,0.380,0.248
0.384,0.384,0.232
0.377,0.377,0.246
0.369,0.379,0.252
0.369,0.388,0.243
0.377,0.390,0.234
0.388,0.388,0.225
0.385,0.390,0.224
0.384,0.380,0.236
0.375,0.385,0.241
0.386,0.379,0.235
0.380,0.385,0.235
0.387,0.387,0.225
0.390,0.379,0.231
0.398,0.367,0.235
0.378,0.384,0.239
0.372,0.383,0.245
0.370,0.378,0.252
0.374,0.377,0.249
0.398,0.375,0.227
0.387,0.372,0.241
0.376,0.376,0.247
0.298,0.315,0.387
0.293,0.328,0.379
0.354,0.380,0.266
0.297,0.314,0.390
